x,y,v
504112,2105462,273
504912,2105462,270
505737,2105462,271
506537,2105462,307
507337,2105462,333
508137,2105462,331
508937,2105462,322
509762,2105462,338
510562,2105462,325
511362,2105462,318
512162,2105462,350
512987,2105462,376
513787,2105462,380
514587,2105462,401
515387,2105462,424
516187,2105462,428
517012,2105462,439
517812,2105462,418
518612,2105462,401
519412,2105462,367
520212,2105462,408
521037,2105462,418
521837,2105462,355
522637,2105462,368
523437,2105462,368
524262,2105462,373
525062,2105462,399
525862,2105462,401
526662,2105462,381
527462,2105462,386
528287,2105462,380
529087,2105462,384
529887,2105462,381
530687,2105462,368
504112,2104637,269
504912,2104637,288
505737,2104637,291
506537,2104637,321
507337,2104637,304
508137,2104637,300
508937,2104637,321
509762,2104637,322
510562,2104637,312
511362,2104637,329
512162,2104637,356
512987,2104637,400
513787,2104637,402
514587,2104637,399
515387,2104637,418
516187,2104637,423
517012,2104637,399
517812,2104637,417
518612,2104637,398
519412,2104637,379
520212,2104637,395
521037,2104637,393
521837,2104637,375
522637,2104637,345
523437,2104637,389
524262,2104637,395
525062,2104637,398
525862,2104637,394
526662,2104637,381
527462,2104637,342
528287,2104637,359
529087,2104637,374
529887,2104637,367
530687,2104637,386
504112,2103812,269
504912,2103812,269
505737,2103812,290
506537,2103812,309
507337,2103812,285
508137,2103812,315
508937,2103812,299
509762,2103812,294
510562,2103812,340
511362,2103812,358
512162,2103812,390
512987,2103812,420
513787,2103812,419
514587,2103812,421
515387,2103812,424
516187,2103812,379
517012,2103812,382
517812,2103812,391
518612,2103812,379
519412,2103812,345
520212,2103812,371
521037,2103812,354
521837,2103812,359
522637,2103812,353
523437,2103812,363
524262,2103812,361
525062,2103812,366
525862,2103812,376
526662,2103812,364
527462,2103812,330
528287,2103812,356
529087,2103812,339
529887,2103812,345
530687,2103812,361
504112,2102987,290
504912,2102987,294
505737,2102987,312
506537,2102987,301
507337,2102987,292
508137,2102987,303
508937,2102987,296
509762,2102987,310
510562,2102987,301
511362,2102987,363
512162,2102987,397
512987,2102987,401
513787,2102987,408
514587,2102987,406
515387,2102987,393
